StudyID	FileName in DB	Aims	Dataset details	Data imbalance?	Architecture	Hyperparameter	#ofPerf Metrics	ComparedModels	StatisticalTests	Limitations/TtV	Total	Qualified
43	[69]2023 - Shaojian Qiu BAFLineDP- Code Bilinear Attention Fusion	1	1	1	1	0	1	1	1	1	8	1
44	[70]2023 - Hao Shen - EDP-BGCNN- Effective Defect Prediction via BERT-based Graph Convolutional Neural Network	1	1	1	0.5	0	1	1	1	1	7.5	1
45	[71]2021 - Cheng Zeng - GCN2defect - Graph Convolutional Networks for SMOTETomek-based Software Defect Prediction	1	1	1	1	0	0.5	1	0	0	5.5	1
46	[72]2021 - Dingbang Fang - EPR- a Neural Network for Automatic Feature Learning from Code for Defect Prediction	1	1	1	1	1	0.5	1	0	1	7.5	1
47	[74]2019 - Guisheng Fan - Software Defect Prediction via Attention-Based Recurrent Neural Network	1	1	1	1	1	1	1	1	0	8	1
48	[76]2024 - Sadia Sahar - DP-CCL- A Supervised Contrastive Learning Approach Using CodeBERT Model in Software Defect Prediction	1	1	1	1	1	1	1	1	1	9	1
49	[77]2023 - Jianzhong Zhu - SyntaxLineDP- a Line-level Software Defect Prediction Model based on Extended Syntax Information	1	1	0	1	0.5	1	1	0	1	6.5	1
50	[80]2024 - Wei Song - Software Defect Prediction via Generative Adversarial Networks and Pre-Trained Model	1	1	0	1	1	0.5	1	0	1	6.5	1
51	[81]2023 - Wei Song - Software Defect Prediction via Code Language Models	1	1	1	0.5	1	0.5	1	0	1	7	1
52	[86]2023 - Wei Zheng - Hybrid Defect Prediction Model Based on Counterfactual Feature Optimization	1	1	0	1	0	0.5	1	0	1	5.5	1
53	[90]2024 - Shaojian Qiu - Defect Prediction via Tree-Based Encoding with Hybrid Granularity for Software Sustainability	1	1	0	1	0	1	1	1	1	7	1
54	[91]2021 - Cong Pan - An Empirical Study on Software Defect Prediction Using CodeBERT Model	1	1	1	1	0	1	0.5	0	0.5	6	1
55	[92]2020-Qihang Zhang-Software Defect Prediction via Transformer	1	1	1	1	0	0.5	0.5	0	0	5	1
56	[94]2019 - DEYU CHEN - DeepCPDP-Deep semantic feature learning for software defect prediction	1	1	1	1	0	0.5	1	1	1	7.5	1
57	[95]2022-WANZHI WEN - A CrossProject Defect Prediction Model Based on Deep Learning With SelfAttention	1	1	0	1	0	0.5	1	0	1	5.5	1
58	[1]2024 - Susmita Haldar - Interpretable Software Defect Prediction from Project Effort and Static Code Metrics	1	1	1	1	1	1	0.5	0	0	6.5	1
59	[2]2022 - Emin Borandag - Software Fault Prediction Using an RNN-Based Deep Learning Approach and Ensemble Machine Learning Techniques	1	1	0	1	1	1	1	1	1	8	1
60	[3]2019 - Jinyin Chen - Multiview Transfer Learning for Software Defect Prediction	1	1	0	1	0	0.5	1	1	1	6.5	1
61	[4]2023- Harikiran - Software Defect Prediction Based Ensemble Approach	1	1	0	1	0	1	0.5	0	1	5.5	1
62	[5]2022 - Suresh Kumar Pemmada - Correlation-based modified long short-term memory network approach for software defect prediction	1	1	1	1	0.5	1	1	0	1	7.5	1
63	[7]2024 - Tianwei Lei - SDP-MTF- A Composite Transfer Learning and Feature Fusion for Cross-Project Software Defect Prediction	1	1	0	1	0	0.5	1	0	1	5.5	1
64	[8]2023 - Xin Dong - Ensemble learning based software defect prediction	1	1	1	0.5	0	1	1	0	0	5.5	1
65	[9]2020 - Osama Al Qasem - The Influence of Deep Learning Algorithms Factors in Software Fault Prediction	1	1	0	1	1	0.5	0	0	1	5.5	1
66	[10]2019 - Amirabbas Majd - SLDeep- Statement-level software defect prediction using deep-learning model on static code features	1	1	0	1	0	1	0.5	0	1	5.5	1
67	[11]2020 - Lei Qiao - Deep learning based software defect prediction	1	1	0	0.5	0.5	0.5	0.5	0	1	5	1
68	[12]2021 - Kun Song - Software Defect Prediction Based on Elman Neural Network and Cuckoo Search Algorithm	1	1	0	1	0	0.5	1	1	1	6.5	1
69	[14]2019 - Linchang Zhao - Siamese Dense Neural Network for Software Defect Prediction With Small Data	1	1	1	1	0	1	1	0	1	7	1
70	[15]2024- Zhang - Software Defect Prediction Using Deep Q-Learning Network-Based Feature Extraction	1	1	1	1	1	1	1	1	1	9	1
71	[16]2023 - Nasraldeen Alnor Adam Khleel - A novel approach for software defect prediction using CNN and GRU based on SMOTE Tomek method	1	1	1	1	0	1	0.5	1	1	7.5	1
72	[17]2023 - Nasraldeen Alnor Adam Khleel - Software defect prediction using a bidirectional LSTM network combined with oversampling techniques	1	1	1	1	0	1	1	0	1	7	1
73	[19]2018 - Hamza Turabieh - Iterated feature selection algorithms with layered recurrent neural network for software fault prediction	1	1	0	1	0	0.5	1	1	0	5.5	1
74	[20]2019 - Manjula - Deep neural network based hybrid approach for software defect prediction using software metrics	1	1	0	1	0	1	1	0	0	5	1
75	[21]2019 - WEI Hua - Software Defect Prediction via Deep BeliefNetwork	1	1	1	1	0	1	1	0	0	6	1
76	[24]2023 - Iqra Batool - Software fault prediction using deep learning techniques	1	1	0	1	0.5	1	0.5	0	1	6	1
77	[25]2023 - Siva - Automatic Software Bug Prediction Using Adaptive Artificial Jelly Optimization With Long Short-Term Memory	1	1	0	1	0	1	1	0	0	5	1
78	[26]2023 - SIva - Automatic software bug prediction using adaptive golden eagle optimizer with deep learning	1	1	0	1	0	1	1	0	0	5	1
79	[27]2023 - Anju - Adaptive recurrent neural network for software defect prediction with the aid of quantum theory- particle swarm optimization	1	1	0	1	1	1	1	0	0	6	1
80	[28]2019 - Mohamed Samir - Investigating The Use of Deep Neural Networks for Software Defect Prediction	1	1	0	0.5	1	0.5	0.5	0	1	5.5	1
81	[29]2024-Wahaj Alkaberi-LearningPredicting the Number of Software Faults using Deep Learning	1	1	1	1	0	0.5	0	0	1	5.5	1
82	[31]2020- Sushant Kumar Pandey - BPDET An Effective Software Bug Prediction Model using Deep Representation and Ensemble Learning Techniques	1	1	1	1	1	1	1	0	1	8	1
83	[32]2017 - Tong - Software defect prediction using stacked denoising autoencoders and two-stage ensemble learning	1	1	1	1	1	1	1	1	0	8	1
84	[33]2023 - Sushant Kumar Pandey - Is Deep learning good enough for software defect prediction	1	1	1	1	0.5	1	1	1	1	8.5	1
85	[34]2018 - Diana-Lucia Miholca - A novel approach for software defect prediction through hybridizing gradual relational association rules with artificial neural networks	1	1	0	1	0	1	1	0	0	5	1
86	[35]2022-KHLEEL-A New Approach To Software Defect Prediction Based On Convolutional Neural Network And Bidirectional Long Short Term Memory	1	1	0	1	0	1	1	0	0	5	1
87	[36]2024 - Oshina Vasishth - Enhanced software defect prediction using krill herd algorithm with stacked LSTM with attention mechanism	1	1	1	1	1	1	1	1	1	9	1
